date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-09-15,39.6175003,40.2425003,39.5,39.9700012,37.9868393,196458400.0,196458400.0,-1.63066,-4.116,39.24311,"September 15, 17",-0.04116
2017-09-18,40.0275002,40.125,39.5,39.6674995,37.6993446,113077600.0,113077600.0,-2.32816,-5.816,39.10811,"September 18, 17",-0.05816
2017-09-19,39.8774986,39.9425011,39.6100006,39.6824989,37.7136002,83242400.0,83242400.0,-2.1639,-5.426,39.0887,"September 19, 17",-0.05426
2017-09-20,39.4749985,39.5649986,38.4575005,39.0175018,37.0815926,211805600.00000003,211805600.00000003,-2.3934100000000003,-6.063,38.36803,"September 20, 17",-0.06063
2017-09-21,38.9500008,38.9500008,38.1875,38.3474998,36.4448357,150046800.0,150046800.0,-2.50517,-6.432,37.86078,"September 21, 17",-0.06432
2017-09-22,37.8849983,38.0675011,37.6399994,37.9724998,36.0884514,186581600.0,186581600.0,-1.79655,-4.742,37.26532,"September 22, 17",-0.04742
2017-09-25,37.4975014,37.9575005,37.2900009,37.6375008,35.7700615,177549199.99999997,177549199.99999997,-1.72744,-4.607,37.00585,"September 25, 17",-0.04607
2017-09-26,37.9449997,38.4799995,37.9225006,38.2849998,36.3854408,146640000.0,146640000.0,-1.55956,-4.11,37.59598,"September 26, 17",-0.0411
2017-09-27,38.4500008,38.6800003,38.3849983,38.5574989,36.6444092,102016800.0,102016800.0,-1.80559,-4.696,37.90314,"September 27, 17",-0.04696
2017-09-28,38.4724998,38.5699997,38.1749992,38.3199997,36.418705,88021999.99999999,88021999.99999999,-2.05379,-5.338,37.72123,"September 28, 17",-0.05338
2017-09-29,38.3025017,38.5325012,38.0,38.5299988,36.6182861,105199200.0,105199200.0,-1.68422,-4.397,37.71693,"September 29, 17",-0.04397
2017-10-02,38.5649986,38.6124992,38.1800003,38.4524994,36.5446243,74795200.0,74795200.0,-2.02037,-5.239,37.77904,"October 02, 17",-0.05239
2017-10-03,38.5024986,38.7724991,38.4775009,38.6199989,36.7038155,64921200.0,64921200.0,-1.79868,-4.672,37.98461,"October 03, 17",-0.04672
2017-10-04,38.4075012,38.4650002,38.1150017,38.3699989,36.466217,80655200.0,80655200.0,-1.94128,-5.054,37.68207,"October 04, 17",-0.05054
2017-10-05,38.5449982,38.8600006,38.5125008,38.8474998,36.9200287,85135200.0,85135200.0,-1.62497,-4.216,38.09751,"October 05, 17",-0.04216
2017-10-06,38.7425003,38.8725014,38.6399994,38.8250008,36.8986435,69630400.0,69630400.0,-1.84386,-4.759,38.13705,"October 06, 17",-0.04759
2017-10-09,38.9524994,39.1824989,38.8725014,38.9599991,37.0269508,65051600.0,65051600.0,-1.92555,-4.943,38.36065,"October 09, 17",-0.04943
2017-10-10,39.0149994,39.5,38.7750015,38.9749985,37.0411987,62468000.0,62468000.0,-1.9738,-5.059,38.43873,"October 10, 17",-0.05059
2017-10-11,38.9925003,39.2449989,38.9375,39.1375008,37.1956367,67622400.0,67622400.0,-1.79686,-4.608,38.45938,"October 11, 17",-0.04608
2017-10-12,39.0875015,39.3424988,38.9324989,39.0,37.0649681,64500400.00000001,64500400.00000001,-2.02253,-5.174,38.44666,"October 12, 17",-0.05174
2017-10-13,39.1824989,39.3199997,39.1025009,39.2475014,37.3001709,65576800.00000001,65576800.00000001,-1.88233,-4.804,38.57422,"October 13, 17",-0.04804
2017-10-16,39.4749985,40.0,39.4124985,39.9700012,37.9868393,96486000.0,96486000.0,-1.48816,-3.77,39.13311,"October 16, 17",-0.0377
2017-10-17,39.9449997,40.2174988,39.8074989,40.1175003,38.1270142,75989200.0,75989200.0,-1.81799,-4.551,39.384,"October 17, 17",-0.04551
2017-10-18,40.1049995,40.1775017,39.9000015,39.9399986,37.9583244,65496800.00000001,65496800.00000001,-2.14668,-5.353,39.34528,"October 18, 17",-0.05353
2017-10-19,39.1875,39.2700005,38.7550011,38.9949989,37.0602112,170336800.0,170336800.0,-2.12729,-5.428,38.36174,"October 19, 17",-0.05428
2017-10-20,39.1525002,39.4375,38.9900017,39.0625,37.1243553,95896400.0,95896400.0,-2.02814,-5.18,38.51729,"October 20, 17",-0.0518
2017-10-23,39.2224998,39.4225006,38.875,39.0424995,37.1053467,87937200.0,87937200.0,-2.11715,-5.398,38.46762,"October 23, 17",-0.05398
2017-10-24,39.0724983,39.3549995,39.0499992,39.2750015,37.326313,71028800.0,71028800.0,-1.74619,-4.469,38.5771,"October 24, 17",-0.04469
2017-10-25,39.2275009,39.3875008,38.8175011,39.1025009,37.1623764,84828400.0,84828400.0,-2.06512,-5.264,38.45579,"October 25, 17",-0.05264
2017-10-26,39.3074989,39.4575005,39.1949997,39.3525009,37.399971,68002000.0,68002000.0,-1.90753,-4.853,38.68416,"October 26, 17",-0.04853
2017-10-27,39.8224983,40.9000015,39.6749992,40.7625008,38.7400131,177816800.0,177816800.0,-1.08249,-2.718,39.77167,"October 27, 17",-0.02718
2017-10-30,40.9724998,42.0175018,40.9300003,41.6800003,39.6119919,178803199.99999997,178803199.99999997,-1.36051,-3.321,40.85316,"October 30, 17",-0.03321
2017-10-31,41.9749985,42.4124985,41.7350006,42.2599983,40.1632118,144187200.0,144187200.0,-1.81179,-4.316,41.4369,"October 31, 17",-0.04316
2017-11-01,42.4674988,42.4850006,41.4025002,41.7224998,39.6523743,134551200.0,134551200.0,-2.8151200000000003,-6.629,41.17996,"November 01, 17",-0.06629
2017-11-02,41.6500015,42.125,41.3199997,42.0275002,39.9422493,165573600.0,165573600.0,-1.70775,-4.1,41.12908,"November 02, 17",-0.041
2017-11-03,43.5,43.5649986,42.7799988,43.125,40.9852943,237594400.0,237594400.0,-2.51471,-5.781,42.44343,"November 03, 17",-0.05781
2017-11-06,43.0924988,43.7475014,42.9300003,43.5625,41.4010887,140105200.0,140105200.0,-1.69141,-3.925,42.69286,"November 06, 17",-0.03925
2017-11-07,43.4775009,43.8125,43.4000015,43.7024994,41.5341454,97446000.0,97446000.0,-1.94336,-4.47,42.91555,"November 07, 17",-0.0447
2017-11-08,43.6650009,44.0600014,43.5825005,44.0600014,41.873909,97638000.0,97638000.0,-1.79109,-4.102,43.17214,"November 08, 17",-0.04102
2017-11-09,43.7775002,44.0250015,43.2849998,43.9700012,41.7883644,117930400.0,117930400.0,-1.98914,-4.5440000000000005,43.03279,"November 09, 17",-0.04544
2017-11-10,43.7775002,43.8450012,43.5675011,43.6674995,41.6500778,100582000.0,100582000.0,-2.12742,-4.86,43.02086,"November 10, 17",-0.0486
2017-11-13,43.375,43.625,43.3499985,43.4925003,41.4831467,67928400.0,67928400.0,-1.89185,-4.362,42.81938,"November 13, 17",-0.04362
2017-11-14,43.2599983,43.3699989,42.7949982,42.8349991,40.8560295,99130000.0,99130000.0,-2.40397,-5.557,42.34034,"November 14, 17",-0.05557
2017-11-15,42.4925003,42.5800018,42.0950012,42.2700005,40.317131,116632400.0,116632400.0,-2.17537,-5.119,41.66404,"November 15, 17",-0.05119
2017-11-16,42.7949982,42.9674988,42.5750008,42.7750015,40.7988052,94550000.0,94550000.0,-1.99619,-4.665,42.11377,"November 16, 17",-0.04665
2017-11-17,42.7599983,42.8474998,42.4099998,42.5374985,40.5722771,87598000.0,87598000.0,-2.18772,-5.116,41.94326,"November 17, 17",-0.05116
2017-11-20,42.5724983,42.6399994,42.3899994,42.4949989,40.5317497,65049600.00000001,65049600.00000001,-2.04075,-4.7940000000000005,41.85392,"November 20, 17",-0.04794
2017-11-21,42.6949997,43.4249992,42.6949997,43.2849998,41.2852478,100525200.0,100525200.0,-1.40975,-3.302,42.46842,"November 21, 17",-0.03302
2017-11-22,43.3400002,43.75,43.2625008,43.7400017,41.7192192,102355600.0,102355600.0,-1.62078,-3.74,42.91057,"November 22, 17",-0.0374
2017-11-24,43.7750015,43.875,43.6624985,43.7425003,41.7215996,56106800.0,56106800.0,-2.0534,-4.691,43.08637,"November 24, 17",-0.04691
2017-11-27,43.7625008,43.7700005,43.3349991,43.5224991,41.5117683,82867200.00000001,82867200.00000001,-2.25073,-5.143,42.87226,"November 27, 17",-0.05143
2017-11-28,43.5750008,43.7174988,42.9650002,43.2675018,41.2685509,105715200.0,105715200.0,-2.30645,-5.293,42.65035,"November 28, 17",-0.05293
2017-11-29,43.1575012,43.2299995,41.7900009,42.3699989,40.4125137,166665600.0,166665600.0,-2.74499,-6.36,41.81084,"November 29, 17",-0.0636
2017-11-30,42.6074982,43.0349998,42.1100006,42.9625015,40.9776459,166108800.0,166108800.0,-1.62985,-3.825,42.04088,"November 30, 17",-0.03825
2017-12-01,42.4874992,42.9174995,42.125,42.7625008,40.7868805,159037200.0,159037200.0,-1.70062,-4.003,41.94313,"December 01, 17",-0.04003
2017-12-04,43.1199989,43.1549988,42.4075012,42.4500008,40.4888115,130169600.0,130169600.0,-2.63119,-6.102,42.0171,"December 04, 17",-0.06102
2017-12-05,42.2649994,42.8800011,42.0999985,42.4099998,40.4506683,109400800.0,109400800.0,-1.81433,-4.293,41.81022,"December 05, 17",-0.04293
2017-12-06,41.875,42.5499992,41.6150017,42.2524986,40.3004417,114240000.0,114240000.0,-1.57456,-3.76,41.48848,"December 06, 17",-0.0376
2017-12-07,42.2574997,42.6100006,42.2275009,42.3300018,40.3743591,102693200.0,102693200.0,-1.88314,-4.456,41.73729,"December 07, 17",-0.04456
2017-12-08,42.6225014,42.75,42.2050018,42.3424988,40.3862801,93420800.0,93420800.0,-2.23622,-5.247,41.78043,"December 08, 17",-0.05247
2017-12-11,42.2999992,43.2224998,42.1974983,43.1674995,41.1731682,141095200.0,141095200.0,-1.12683,-2.664,42.19772,"December 11, 17",-0.02664
2017-12-12,43.0374985,43.0974998,42.8650017,42.9249992,40.9418716,77636800.0,77636800.0,-2.09563,-4.869,42.30146,"December 12, 17",-0.04869
2017-12-13,43.125,43.3849983,43.0,43.0675011,41.0777893,95273600.0,95273600.0,-2.04721,-4.747,42.4876,"December 13, 17",-0.04747
2017-12-14,43.0999985,43.2825012,42.9124985,43.0550003,41.0658646,81906000.0,81906000.0,-2.03413,-4.72,42.42029,"December 14, 17",-0.0472
2017-12-15,43.4075012,43.5424995,43.1150017,43.4925003,41.4831467,160677200.0,160677200.0,-1.92435,-4.433,42.71355,"December 15, 17",-0.04433
2017-12-18,43.7200012,44.2999992,43.7150002,44.1049995,42.0673561,117684400.0,117684400.0,-1.65265,-3.78,43.36079,"December 18, 17",-0.0378
